Gender,Age,family_history_with_overweight,Frequent consumption of high caloric food,Frequency of consumption of vegetables,Number of main meals,Consumption of food between meals,SMOKE,Consumption of water daily,Calories consumption monitoring,Physical activity frequency,Time using technology devices,Consumption of alcohol,BMI
1.0,21.0,1.0,0.0,2.0,3.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,243865.26444139605
1.0,21.0,1.0,0.0,3.0,3.0,1.0,1.0,3.0,1.0,3.0,0.0,1.0,242382.27146814403
0.0,23.0,1.0,0.0,2.0,3.0,1.0,0.0,2.0,0.0,2.0,1.0,2.0,237654.32098765427
0.0,27.0,0.0,0.0,3.0,3.0,1.0,0.0,2.0,0.0,2.0,0.0,2.0,268518.5185185185
0.0,22.0,0.0,0.0,2.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,283423.81012498424
0.0,29.0,0.0,1.0,2.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,201950.9221155311
1.0,23.0,1.0,1.0,3.0,3.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,244444.44444444444
0.0,22.0,0.0,0.0,2.0,3.0,1.0,0.0,2.0,0.0,3.0,0.0,1.0,197055.32421177873
0.0,24.0,1.0,1.0,3.0,3.0,1.0,0.0,2.0,0.0,1.0,1.0,2.0,201994.69763918698
0.0,22.0,1.0,1.0,2.0,3.0,1.0,0.0,2.0,0.0,1.0,1.0,0.0,229853.9751216874
0.0,26.0,1.0,1.0,3.0,3.0,2.0,0.0,3.0,0.0,2.0,2.0,1.0,306793.2797662527
1.0,21.0,1.0,1.0,2.0,3.0,2.0,0.0,2.0,1.0,2.0,1.0,1.0,270416.4413196322
0.0,22.0,0.0,0.0,3.0,3.0,1.0,0.0,3.0,0.0,2.0,0.0,1.0,205693.29660238748
0.0,41.0,0.0,1.0,2.0,3.0,1.0,0.0,2.0,0.0,2.0,1.0,2.0,305555.5555555555
0.0,23.0,1.0,1.0,3.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,191515.8479364167
1.0,22.0,1.0,0.0,3.0,3.0,3.0,0.0,2.0,1.0,2.0,1.0,1.0,228373.70242214532
0.0,27.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,273832.85457327723
1.0,29.0,0.0,1.0,2.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,333205.1774958349
1.0,30.0,1.0,1.0,3.0,4.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,280428.1659313977
1.0,23.0,1.0,0.0,2.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,257116.62075298437
0.0,22.0,1.0,0.0,2.0,3.0,1.0,0.0,2.0,0.0,3.0,2.0,0.0,293847.5665748393
1.0,52.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,304611.1830818249
1.0,22.0,1.0,1.0,3.0,3.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,220385.67493112944
1.0,22.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,2.0,1.0,320312.5
0.0,21.0,1.0,1.0,2.0,3.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,198685.17165814457
0.0,20.0,1.0,0.0,2.0,4.0,2.0,1.0,2.0,0.0,3.0,2.0,0.0,195312.5
0.0,21.0,1.0,1.0,2.0,1.0,2.0,0.0,2.0,0.0,1.0,2.0,3.0,224913.49480968856
1.0,23.0,0.0,1.0,2.0,4.0,2.0,0.0,2.0,0.0,2.0,1.0,1.0,203125.0
0.0,19.0,1.0,1.0,3.0,3.0,1.0,0.0,2.0,1.0,3.0,1.0,1.0,248163.26530612243
0.0,23.0,0.0,1.0,2.0,3.0,1.0,0.0,2.0,0.0,2.0,2.0,2.0,248015.87301587305
0.0,29.0,0.0,1.0,1.0,4.0,2.0,0.0,3.0,0.0,0.0,1.0,0.0,264930.2563120431
1.0,31.0,1.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,272392.24483255885
1.0,24.0,0.0,0.0,2.0,3.0,1.0,0.0,3.0,0.0,1.0,1.0,1.0,242586.74071946117
0.0,39.0,0.0,0.0,2.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,280890.10954714275
0.0,22.0,0.0,1.0,2.0,4.0,2.0,0.0,2.0,0.0,2.0,0.0,1.0,227731.86409550044
1.0,21.0,1.0,0.0,2.0,3.0,1.0,0.0,2.0,0.0,2.0,2.0,1.0,288888.8888888889
1.0,22.0,0.0,1.0,2.0,3.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,201347.79750164362
1.0,21.0,0.0,1.0,2.0,3.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,187500.0
0.0,23.0,1.0,1.0,2.0,3.0,1.0,0.0,2.0,0.0,1.0,1.0,1.0,246097.3370064279
1.0,21.0,1.0,1.0,2.0,3.0,1.0,0.0,3.0,0.0,3.0,0.0,1.0,287346.9387755102
1.0,21.0,1.0,1.0,2.0,3.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,268923.2313815483
0.0,23.0,0.0,0.0,2.0,4.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,212585.03401360547
1.0,21.0,1.0,1.0,1.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,232254.3184787342
0.0,21.0,1.0,1.0,2.0,3.0,1.0,1.0,2.0,0.0,1.0,1.0,2.0,224996.37102627376
0.0,21.0,0.0,0.0,1.0,3.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,244192.79020786908
1.0,21.0,1.0,0.0,2.0,3.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,277670.9812465291
0.0,21.0,1.0,1.0,1.0,3.0,2.0,0.0,3.0,0.0,2.0,0.0,1.0,217365.0525298877
0.0,21.0,1.0,1.0,1.0,3.0,2.0,0.0,3.0,0.0,2.0,0.0,1.0,235102.0408163265
1.0,20.0,1.0,0.0,3.0,3.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,217738.4235738133
1.0,21.0,0.0,1.0,2.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,208116.5452653486
1.0,21.0,1.0,1.0,3.0,3.0,1.0,0.0,3.0,0.0,0.0,1.0,1.0,210254.23401874927
1.0,20.0,0.0,1.0,2.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,195555.55555555556
1.0,23.0,0.0,1.0,3.0,1.0,1.0,0.0,2.0,0.0,2.0,2.0,0.0,193337.29922665085
1.0,23.0,1.0,0.0,3.0,3.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,207008.1674131507
1.0,22.0,0.0,0.0,3.0,4.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,214843.75
0.0,23.0,0.0,0.0,2.0,4.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,219671.201814059
