Gender,Age,family_history_with_overweight,Frequent consumption of high caloric food,Frequency of consumption of vegetables,Number of main meals,Consumption of food between meals,SMOKE,Consumption of water daily,Calories consumption monitoring,Physical activity frequency,Time using technology devices,Consumption of alcohol,BMI
1.0,21.0,1.0,0.0,2.0,3.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,24.38652644413961
1.0,21.0,1.0,0.0,3.0,3.0,1.0,1.0,3.0,1.0,3.0,0.0,1.0,24.238227146814403
0.0,23.0,1.0,0.0,2.0,3.0,1.0,0.0,2.0,0.0,2.0,1.0,2.0,23.76543209876543
0.0,27.0,0.0,0.0,3.0,3.0,1.0,0.0,2.0,0.0,2.0,0.0,2.0,26.85185185185185
0.0,22.0,0.0,0.0,2.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,28.34238101249842
0.0,29.0,0.0,1.0,2.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,20.195092211553114
1.0,23.0,1.0,1.0,3.0,3.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,24.444444444444443
0.0,22.0,0.0,0.0,2.0,3.0,1.0,0.0,2.0,0.0,3.0,0.0,1.0,19.705532421177875
0.0,24.0,1.0,1.0,3.0,3.0,1.0,0.0,2.0,0.0,1.0,1.0,2.0,20.199469763918696
0.0,22.0,1.0,1.0,2.0,3.0,1.0,0.0,2.0,0.0,1.0,1.0,0.0,22.985397512168742
0.0,26.0,1.0,1.0,3.0,3.0,2.0,0.0,3.0,0.0,2.0,2.0,1.0,30.67932797662527
1.0,21.0,1.0,1.0,2.0,3.0,2.0,0.0,2.0,1.0,2.0,1.0,1.0,27.041644131963228
0.0,22.0,0.0,0.0,3.0,3.0,1.0,0.0,3.0,0.0,2.0,0.0,1.0,20.569329660238754
0.0,41.0,0.0,1.0,2.0,3.0,1.0,0.0,2.0,0.0,2.0,1.0,2.0,30.555555555555554
0.0,23.0,1.0,1.0,3.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,19.15158479364167
1.0,22.0,1.0,0.0,3.0,3.0,3.0,0.0,2.0,1.0,2.0,1.0,1.0,22.837370242214536
0.0,27.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,27.383285457327716
1.0,29.0,0.0,1.0,2.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,33.320517749583495
1.0,30.0,1.0,1.0,3.0,4.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,28.042816593139772
1.0,23.0,1.0,0.0,2.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,25.71166207529844
0.0,22.0,1.0,0.0,2.0,3.0,1.0,0.0,2.0,0.0,3.0,2.0,0.0,29.384756657483933
1.0,52.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,30.461118308182492
1.0,22.0,1.0,1.0,3.0,3.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,22.03856749311295
1.0,22.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,2.0,1.0,32.03124999999999
0.0,21.0,1.0,1.0,2.0,3.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,19.86851716581446
0.0,20.0,1.0,0.0,2.0,4.0,2.0,1.0,2.0,0.0,3.0,2.0,0.0,19.531249999999996
0.0,21.0,1.0,1.0,2.0,1.0,2.0,0.0,2.0,0.0,1.0,2.0,3.0,22.49134948096886
1.0,23.0,0.0,1.0,2.0,4.0,2.0,0.0,2.0,0.0,2.0,1.0,1.0,20.312499999999996
0.0,19.0,1.0,1.0,3.0,3.0,1.0,0.0,2.0,1.0,3.0,1.0,1.0,24.816326530612244
0.0,23.0,0.0,1.0,2.0,3.0,1.0,0.0,2.0,0.0,2.0,2.0,2.0,24.801587301587304
0.0,29.0,0.0,1.0,1.0,4.0,2.0,0.0,3.0,0.0,0.0,1.0,0.0,26.493025631204315
1.0,31.0,1.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,27.239224483255885
1.0,24.0,0.0,0.0,2.0,3.0,1.0,0.0,3.0,0.0,1.0,1.0,1.0,24.258674071946118
0.0,39.0,0.0,0.0,2.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,28.089010954714272
0.0,22.0,0.0,1.0,2.0,4.0,2.0,0.0,2.0,0.0,2.0,0.0,1.0,22.77318640955005
1.0,21.0,1.0,0.0,2.0,3.0,1.0,0.0,2.0,0.0,2.0,2.0,1.0,28.88888888888889
1.0,22.0,0.0,1.0,2.0,3.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,20.134779750164363
1.0,21.0,0.0,1.0,2.0,3.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,18.749999999999996
0.0,23.0,1.0,1.0,2.0,3.0,1.0,0.0,2.0,0.0,1.0,1.0,1.0,24.609733700642796
1.0,21.0,1.0,1.0,2.0,3.0,1.0,0.0,3.0,0.0,3.0,0.0,1.0,28.73469387755102
1.0,21.0,1.0,1.0,2.0,3.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,26.89232313815483
0.0,23.0,0.0,0.0,2.0,4.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,21.258503401360546
1.0,21.0,1.0,1.0,1.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,23.225431847873423
0.0,21.0,1.0,1.0,2.0,3.0,1.0,1.0,2.0,0.0,1.0,1.0,2.0,22.49963710262738
0.0,21.0,0.0,0.0,1.0,3.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,24.41927902078691
1.0,21.0,1.0,0.0,2.0,3.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,27.76709812465291
0.0,21.0,1.0,1.0,1.0,3.0,2.0,0.0,3.0,0.0,2.0,0.0,1.0,21.736505252988767
0.0,21.0,1.0,1.0,1.0,3.0,2.0,0.0,3.0,0.0,2.0,0.0,1.0,23.510204081632654
1.0,20.0,1.0,0.0,3.0,3.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,21.773842357381334
1.0,21.0,0.0,1.0,2.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,20.811654526534856
1.0,21.0,1.0,1.0,3.0,3.0,1.0,0.0,3.0,0.0,0.0,1.0,1.0,21.025423401874924
1.0,20.0,0.0,1.0,2.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,19.555555555555557
1.0,23.0,0.0,1.0,3.0,1.0,1.0,0.0,2.0,0.0,2.0,2.0,0.0,19.333729922665082
1.0,23.0,1.0,0.0,3.0,3.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,20.70081674131507
1.0,22.0,0.0,0.0,3.0,4.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,21.484374999999996
0.0,23.0,0.0,0.0,2.0,4.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,21.9671201814059
0.0,22.0,1.0,1.0,2.0,3.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,24.221453287197235
0.0,21.0,1.0,0.0,2.0,3.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,24.167162403331353
1.0,17.0,1.0,1.0,3.0,1.0,1.0,0.0,2.0,0.0,1.0,1.0,0.0,24.609733700642796
0.0,20.0,1.0,1.0,2.0,4.0,1.0,0.0,3.0,0.0,2.0,2.0,0.0,17.75568181818182
1.0,21.0,1.0,1.0,2.0,3.0,1.0,0.0,3.0,0.0,3.0,1.0,1.0,20.39542143600416
0.0,20.0,0.0,1.0,2.0,3.0,1.0,0.0,2.0,0.0,3.0,1.0,1.0,21.30394857667585
0.0,22.0,0.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,22.230987127541326
0.0,22.0,1.0,1.0,2.0,3.0,1.0,0.0,2.0,0.0,0.0,2.0,1.0,19.48696145124717
1.0,21.0,1.0,1.0,2.0,3.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,20.685150239512268
1.0,21.0,1.0,1.0,1.0,3.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,26.291723822588015
0.0,23.0,1.0,1.0,1.0,3.0,3.0,0.0,2.0,0.0,0.0,2.0,2.0,27.777777777777775
0.0,23.0,1.0,1.0,2.0,3.0,3.0,0.0,2.0,0.0,0.0,1.0,2.0,34.894398530762174
0.0,30.0,1.0,1.0,1.0,3.0,0.0,1.0,2.0,1.0,0.0,0.0,2.0,36.15702479338843
0.0,23.0,1.0,0.0,2.0,3.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,18.51851851851852
1.0,23.0,1.0,1.0,2.0,3.0,3.0,0.0,2.0,0.0,0.0,2.0,0.0,29.384756657483933
1.0,22.0,1.0,0.0,3.0,3.0,0.0,0.0,3.0,1.0,2.0,1.0,1.0,17.92821542543655
1.0,24.0,1.0,0.0,2.0,3.0,1.0,0.0,3.0,1.0,1.0,0.0,0.0,22.03856749311295
0.0,19.0,1.0,0.0,2.0,3.0,1.0,0.0,3.0,0.0,2.0,1.0,1.0,18.991964937910883
0.0,24.0,1.0,1.0,2.0,3.0,2.0,0.0,3.0,0.0,0.0,1.0,2.0,29.411764705882355
1.0,23.0,1.0,0.0,3.0,3.0,1.0,0.0,3.0,1.0,2.0,0.0,0.0,16.937031879257784
1.0,24.0,1.0,0.0,2.0,3.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,17.578124999999996
1.0,24.0,1.0,1.0,2.0,3.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,27.68166089965398
1.0,23.0,1.0,1.0,2.0,3.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,33.057851239669425
0.0,23.0,1.0,0.0,2.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,22.03856749311295
1.0,19.0,0.0,0.0,3.0,3.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,21.829952199932254
0.0,30.0,1.0,1.0,2.0,3.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,28.086419753086417
0.0,23.0,1.0,1.0,2.0,3.0,3.0,0.0,2.0,0.0,0.0,1.0,0.0,30.657248377496504
1.0,19.0,0.0,0.0,3.0,3.0,0.0,0.0,3.0,1.0,2.0,0.0,0.0,17.578124999999996
0.0,25.0,1.0,1.0,2.0,3.0,2.0,0.0,2.0,0.0,0.0,1.0,1.0,28.719723183391007
0.0,23.0,1.0,0.0,2.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,21.487603305785125
0.0,21.0,1.0,1.0,2.0,1.0,2.0,0.0,3.0,0.0,1.0,0.0,0.0,24.251278305332356
0.0,19.0,1.0,1.0,2.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,26.26494384736143
1.0,22.0,1.0,1.0,2.0,3.0,2.0,0.0,2.0,1.0,1.0,0.0,0.0,23.875114784205696
1.0,29.0,1.0,1.0,3.0,3.0,1.0,0.0,1.0,0.0,2.0,1.0,2.0,26.989619377162633
